code,name,type,nav,daily_change,premium_rate,subscription_status,limit_amount,exchange
160105,南方积极配置混合(LOF),混合型-灵活,1.23,-0.57%,N/A,open,无限额,SZSE
160106,南方高增长混合(LOF),混合型-偏股,1.482,N/A%,N/A,open,无限额,SZSE
160107,南方高增长混合(LOF)(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
160119,500ETF联接LOF,指数型-股票,2.233,-0.89%,N/A,open,无限额,SZSE
160120,500ETF联接LOF(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
160125,南方香港优选股票,QDII-普通股票,1.751,1.04%,N/A,open,无限额,SZSE
160126,南方香港优选股票(后端),QDII-普通股票,N/A,N/A,N/A,open,无限额,SZSE
160127,南方新兴消费增长股票(LOF)A,股票型,0.855,0.23%,N/A,open,无限额,SZSE
160128,南方金利定开债券A,债券型-长债,1.031,N/A%,N/A,open,无限额,SZSE
160129,南方金利定开债券C,债券型-长债,N/A,N/A,N/A,open,无限额,SZSE
160133,南方天元新产业股票(LOF),股票型,4.201,-0.71%,N/A,open,无限额,SZSE
160135,南方中证高铁产业指数(LOF),指数型-股票,1.04,-0.48%,N/A,open,无限额,SZSE
160137,南方中证互联网指数(LOF)A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160140,南方道琼斯美国精选A,指数型-海外股票,1.374,0.73%,N/A,open,无限额,SZSE
160141,南方道琼斯美国精选C,指数型-海外股票,N/A,N/A,N/A,open,无限额,SZSE
160142,南方优势产业(LOF),混合型-灵活,1.125,0.09%,N/A,open,无限额,SZSE
160143,南方创业板2年定期开放混合,混合型-偏股,1.365,-1.02%,N/A,open,无限额,SZSE
160144,南方新兴消费增长股票(LOF)C,股票型,N/A,N/A,N/A,open,无限额,SZSE
160211,国泰中小盘成长混合(LOF),混合型-偏股,3.202,-0.28%,N/A,open,无限额,SZSE
160212,国泰估值优势混合(LOF)A,混合型-偏股,4.33,-1.88%,N/A,open,无限额,SZSE
160213,国泰纳斯达克100指数,指数型-海外股票,N/A,N/A,N/A,open,无限额,SZSE
160215,国泰价值经典混合(LOF),混合型-灵活,2.839,1.9%,N/A,open,无限额,SZSE
160216,国泰大宗商品(QDII-LOF)A,QDII-商品,0.743,N/A%,N/A,open,无限额,SZSE
160217,国泰信用互利债券A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
160218,国泰国证房地产行业指数A,指数型-股票,0.632,-1.56%,N/A,open,无限额,SZSE
160219,国泰国证医药卫生行业指数A,指数型-股票,0.566,1.43%,N/A,open,无限额,SZSE
160220,国泰民益混合(LOF)A,混合型-灵活,4.034,-0.35%,N/A,open,无限额,SZSE
160221,国泰国证有色金属行业指数(LOF)A,指数型-股票,2.507,-0.87%,N/A,open,无限额,SZSE
160222,国泰国证食品饮料行业(LOF)A,指数型-股票,0.728,-0.14%,N/A,open,无限额,SZSE
160223,国泰创业板指数(LOF)A,指数型-股票,1.931,-0.87%,N/A,open,无限额,SZSE
160224,国泰中证计算机主题ETF联接A,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
160225,国泰国证新能源汽车指数A,指数型-股票,2.048,-2.01%,N/A,open,无限额,SZSE
160226,国泰民益混合(LOF)C,混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
160311,华夏蓝筹混合(LOF)A,混合型-灵活,1.707,-0.87%,N/A,open,无限额,SZSE
160314,华夏行业混合(LOF),混合型-偏股,1.378,N/A%,N/A,open,无限额,SZSE
160322,华夏港股通精选股票发起式(LOF)A,股票型,1.139,0.18%,N/A,open,无限额,SZSE
160323,华夏磐泰混合(LOF)A,混合型-偏债,1.751,-0.28%,N/A,open,无限额,SZSE
160324,华夏磐晟混合(LOF),混合型-灵活,2.062,0.24%,N/A,open,无限额,SZSE
160325,华夏创业板两年定开混合,混合型-偏股,1.482,-0.6%,N/A,open,无限额,SZSE
160326,华夏优选配置股票(FOF-LOF)A,FOF-进取型,0.859,N/A%,N/A,open,无限额,SZSE
160416,华安标普全球石油指数(LOF)A,指数型-海外股票,2.384,-4.53%,N/A,open,无限额,SZSE
160418,华安中证银行ETF联接A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160419,华安中证全指证券公司ETF联接A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160420,华安创业板50指数A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160421,华安智增精选混合,混合型-灵活,2.1,-1.69%,N/A,open,无限额,SZSE
160422,华安创业板50ETF联接A,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
160424,华安创业板50ETF联接C,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
160425,华安创业板两年定开混合,混合型-偏股,N/A,N/A%,N/A,open,无限额,SZSE
160505,博时主题行业混合(LOF),混合型-偏股,1.272,-0.16%,N/A,open,无限额,SZSE
160512,博时卓越品牌混合(LOF)A,混合型-偏股,2.645,0.57%,N/A,open,无限额,SZSE
160513,博时稳健回报债券(LOF)A,债券型-混合一级,2.206,0.09%,N/A,open,无限额,SZSE
160514,博时稳健回报债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
160515,博时安丰18个月定开债A,债券型-长债,1.035,-0.1%,N/A,open,无限额,SZSE
160516,博时证券公司ETF联接A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160517,博时中证银行指数(LOF)A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160518,博时睿远,混合型-灵活,2.638,-0.53%,N/A,open,无限额,SZSE
160523,博时安丰18个月定开债C,债券型-长债,N/A,N/A,N/A,open,无限额,SZSE
160526,博时优势企业灵活配置混合A,混合型-灵活,1.296,1.01%,N/A,open,无限额,SZSE
160527,博时研究优选混合(LOF)A,混合型-灵活,1.039,0.58%,N/A,open,无限额,SZSE
160528,博时研究优选混合(LOF)C,混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
160529,博时创业板两年定开混合,混合型-偏股,1.328,0.08%,N/A,open,无限额,SZSE
160602,鹏华普天债券A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
160603,鹏华普天收益混合,混合型-偏股,N/A,N/A%,N/A,open,无限额,SZSE
160605,鹏华中国50混合,混合型-灵活,N/A,N/A%,N/A,open,无限额,SZSE
160606,鹏华货币A,货币型-普通货币,N/A,N/A,N/A,open,无限额,SZSE
160607,鹏华价值优势混合(LOF),混合型-偏股,0.832,-1.19%,N/A,open,无限额,SZSE
160608,鹏华普天债券B,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
160609,鹏华货币B,货币型-普通货币,N/A,N/A,N/A,open,无限额,SZSE
160610,鹏华动力增长混合(LOF),混合型-灵活,1.164,-0.51%,N/A,open,无限额,SZSE
160611,鹏华优质治理混合(LOF)A,混合型-偏股,1.434,0.49%,N/A,open,无限额,SZSE
160612,鹏华丰收债券B,债券型-混合二级,N/A,N/A,N/A,open,无限额,SZSE
160613,鹏华盛世创新混合(LOF)A,混合型-偏股,1.217,0.16%,N/A,open,无限额,SZSE
160615,鹏华沪深300ETF联接(LOF)A,指数型-股票,1.41,0.86%,N/A,open,无限额,SZSE
160616,鹏华中证500指数(LOF)A,指数型-股票,2.32,-0.22%,N/A,open,无限额,SZSE
160617,鹏华丰润债券(LOF),债券型-混合一级,1.114,-0.09%,N/A,open,无限额,SZSE
160618,鹏华丰泽债券(LOF)C,债券型-混合一级,1.625,-0.43%,N/A,open,无限额,SZSE
160620,鹏华中证A股资源产业指数(LOF)A,指数型-股票,3.044,-0.69%,N/A,open,无限额,SZSE
160621,鹏华丰和债券(LOF)A,债券型-混合二级,N/A,N/A%,N/A,open,无限额,SZSE
160622,鹏华丰利债券(LOF)A,债券型-混合一级,1.153,0.35%,N/A,open,无限额,SZSE
160624,鹏华消费领先混合,混合型-灵活,N/A,N/A%,N/A,open,无限额,SZSE
160625,鹏华中证800证券保险指数(LOF)A,指数型-股票,0.841,-1.06%,N/A,open,无限额,SZSE
160626,鹏华中证信息技术指数(LOF)A,指数型-股票,1.372,0.66%,N/A,open,无限额,SZSE
160627,鹏华策略优选灵活配置混合,混合型-灵活,N/A,N/A%,N/A,open,无限额,SZSE
160628,鹏华中证800地产指数(LOF)A,指数型-股票,0.541,-0.55%,N/A,open,无限额,SZSE
160629,鹏华中证传媒指数(LOF)A,指数型-股票,1.252,-1.03%,N/A,open,无限额,SZSE
160630,鹏华中证国防指数(LOF)A,指数型-股票,1.173,-0.42%,N/A,open,无限额,SZSE
160631,鹏华中证银行指数(LOF)A,指数型-股票,1.348,1.35%,N/A,open,无限额,SZSE
160632,鹏华酒A,指数型-股票,0.307,0.66%,N/A,open,无限额,SZSE
160633,鹏华中证全指证券公司指数(LOF)A,指数型-股票,1.055,-0.38%,N/A,open,无限额,SZSE
160634,鹏华中证环保产业指数(LOF)A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160635,鹏华中证医药指数(LOF)A,指数型-股票,0.912,1.33%,N/A,open,无限额,SZSE
160636,鹏华中证移动互联网指数(LOF)A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160637,鹏华创业板指数(LOF)A,指数型-股票,1.612,-0.49%,N/A,open,无限额,SZSE
160638,鹏华中证一带一路主题指数(LOF)A,指数型-股票,3.087,0.16%,N/A,open,无限额,SZSE
160639,鹏华中证高铁产业指数(LOF)A,指数型-股票,0.889,-0.22%,N/A,open,无限额,SZSE
160641,鹏华丰锐债券LOF,债券型-混合二级,103.361,-0.21%,N/A,open,无限额,SZSE
160642,鹏华增瑞混合(LOF)A,混合型-灵活,2.082,1.36%,N/A,open,无限额,SZSE
160643,鹏华空天军工指数(LOF)A,指数型-股票,1.403,-1.13%,N/A,open,无限额,SZSE
160644,鹏华港美互联股票人民币,QDII-普通股票,1.696,2.54%,N/A,open,无限额,SZSE
160646,鹏华中证沪港深科技龙头指数(LOF)A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
160706,嘉实沪深300ETF联接A,指数型-股票,1.188,-0.08%,N/A,open,无限额,SZSE
160716,嘉实基本面50指数(LOF)A,指数型-股票,2.093,0.1%,N/A,open,无限额,SZSE
160717,嘉实H股指数(QDII-LOF),指数型-海外股票,0.745,0.4%,N/A,open,无限额,SZSE
160718,嘉实多利收益债券A,债券型-混合二级,N/A,N/A%,N/A,open,无限额,SZSE
160719,嘉实黄金,QDII-商品,2.154,0.61%,N/A,open,无限额,SZSE
160722,嘉实惠泽混合(LOF),混合型-灵活,1.887,-0.53%,N/A,open,无限额,SZSE
160723,嘉实原油(QDII-LOF),QDII-商品,2.433,-3.3%,N/A,open,无限额,SZSE
160724,嘉实沪深300ETF联接C,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
160725,嘉实基本面50指数(LOF)C,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
160726,嘉实瑞享定期混合,混合型-灵活,1.058,0.28%,N/A,open,无限额,SZSE
160727,嘉实创业板两年定期混合,混合型-偏股,N/A,N/A%,N/A,open,无限额,SZSE
160805,长盛同智优势混合(LOF),混合型-灵活,0.754,-0.53%,N/A,open,无限额,SZSE
160806,长盛同庆中证800(LOF),指数型-股票,2.037,0.89%,N/A,open,无限额,SZSE
160807,长盛沪深300指数(LOF)A,指数型-股票,1.893,N/A%,N/A,open,无限额,SZSE
160812,长盛同益成长回报(LOF),混合型-灵活,2.383,-1.45%,N/A,open,无限额,SZSE
160813,长盛同盛成长优选(LOF),混合型-灵活,1.738,N/A%,N/A,open,无限额,SZSE
160910,大成创新成长混合(LOF)A,混合型-灵活,0.946,-0.11%,N/A,open,无限额,SZSE
160916,大成优选混合(LOF)A,混合型-偏股,4.408,1.75%,N/A,open,无限额,SZSE
160918,大成中小盘混合(LOF)A,混合型-偏股,2.643,-0.56%,N/A,open,无限额,SZSE
160919,大成产业升级股票(LOF)A,股票型,3.719,0.11%,N/A,open,无限额,SZSE
160921,大成多策略混合(LOF)A,混合型-灵活,1.469,0.41%,N/A,open,无限额,SZSE
160924,大成恒生指数(QDII-LOF)A,指数型-海外股票,1.029,0.49%,N/A,open,无限额,SZSE
160925,大成中华沪深港300指数(LOF)A,指数型-股票,1.337,1.13%,N/A,open,无限额,SZSE
160926,大成创业板两年定开混合A,混合型-偏股,1.074,-0.56%,N/A,open,无限额,SZSE
161005,富国天惠成长混合(LOF)A,混合型-偏股,3.01,0.03%,N/A,open,无限额,SZSE
161006,富国天惠成长混合(LOF)A(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161010,富国天丰强化债券(LOF)A,债券型-混合一级,1.183,0.08%,N/A,open,无限额,SZSE
161014,富国汇利回报两年定期开放债券,债券型-混合一级,1.444,-0.07%,N/A,open,无限额,SZSE
161015,富国天盈债券(LOF)C,债券型-混合一级,N/A,N/A%,N/A,open,无限额,SZSE
161017,富国中证500指数增强(LOF)A,指数型-股票,2.665,-0.04%,N/A,open,无限额,SZSE
161018,富国天丰强化债券(LOF)A(后端),债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
161019,富国新天锋债券(LOF)A,债券型-混合一级,1.216,0.16%,N/A,open,无限额,SZSE
161020,富国新天锋债券(LOF)A(后端),债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
161021,富国中证500指数增强(LOF)A(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161022,富国创业板ETF联接A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
161024,富国中证军工指数(LOF)A,指数型-股票,1.32,-0.3%,N/A,open,无限额,SZSE
161025,富国中证移动互联网指数(LOF)A,指数型-股票,1.28,-0.62%,N/A,open,无限额,SZSE
161026,富国中证国有企业改革指数(LOF)A,指数型-股票,1.167,-0.17%,N/A,open,无限额,SZSE
161027,富国中证全指证券公司指数(LOF)A,指数型-股票,1.018,-0.49%,N/A,open,无限额,SZSE
161028,富国中证新能源汽车指数(LOF)A,指数型-股票,1.224,-1.84%,N/A,open,无限额,SZSE
161029,富国中证银行指数(LOF)A,指数型-股票,1.715,-0.58%,N/A,open,无限额,SZSE
161030,富国中证体育产业指数(LOF)A,指数型-股票,1.149,0.61%,N/A,open,无限额,SZSE
161031,富国中证工业4.0指数(LOF)A,指数型-股票,1.356,-1.53%,N/A,open,无限额,SZSE
161032,富国中证煤炭指数(LOF)A,指数型-股票,2.173,0.23%,N/A,open,无限额,SZSE
161033,富国中证智能汽车(LOF)A,指数型-股票,1.971,-0.55%,N/A,open,无限额,SZSE
161035,富国中证医药主题指数增强A,指数型-股票,1.266,2.51%,N/A,open,无限额,SZSE
161036,富国中证娱乐主题指数增强(LOF)A,指数型-股票,0.761,0.13%,N/A,open,无限额,SZSE
161037,富国中证高端制造指数增强型(LOF)A,指数型-股票,2.62,-0.76%,N/A,open,无限额,SZSE
161038,富国新兴成长量化精选混合(LOF)A,混合型-偏股,1.646,0.98%,N/A,open,无限额,SZSE
161039,富国中证1000指数增强(LOF)A,指数型-股票,2.8,0.04%,N/A,open,无限额,SZSE
161040,富国创业板两年定开混合,混合型-偏股,2.021,-0.64%,N/A,open,无限额,SZSE
161115,易方达岁丰添利债券(LOF)A,债券型-混合一级,1.743,0.06%,N/A,open,无限额,SZSE
161116,易方达黄金主题人民币A,QDII-商品,1.821,0.33%,N/A,open,无限额,SZSE
161117,易方达永旭定开债,债券型-长债,1.036,N/A%,N/A,open,无限额,SZSE
161118,易方达中小企业100(LOF)A,指数型-股票,1.58,-0.69%,N/A,open,无限额,SZSE
161119,易方达中债新综指发起式(LOF)A,指数型-固收,1.774,N/A%,N/A,open,无限额,SZSE
161120,易方达中债新综指发起式(LOF)C,指数型-固收,N/A,N/A,N/A,open,无限额,SZSE
161121,易方达中证银行ETF联接(LOF)A,指数型-股票,1.595,1.08%,N/A,open,无限额,SZSE
161122,易方达中证万得生物科技指数(LOF)A,指数型-股票,0.559,0.72%,N/A,open,无限额,SZSE
161123,易方达中证万得并购重组(LOF),指数型-股票,1.556,-0.32%,N/A,open,无限额,SZSE
161124,易方达香港小型股指数A,指数型-海外股票,1.143,-0.09%,N/A,open,无限额,SZSE
161125,易方达标普500指数人民币A,指数型-海外股票,2.913,0.66%,N/A,open,无限额,SZSE
161126,易方达标普医疗保健人民币A,指数型-海外股票,1.844,0.82%,N/A,open,无限额,SZSE
161127,易方达标普生物科技人民币A,指数型-海外股票,1.834,2.98%,N/A,open,无限额,SZSE
161128,易方达标普信息科技指数(QDII-LOF)A(人民币),指数型-海外股票,5.928,3.47%,N/A,open,无限额,SZSE
161129,易方达原油A类人民币,QDII-商品,2.075,-4.51%,N/A,open,无限额,SZSE
161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),指数型-海外股票,3.981,1.35%,N/A,open,无限额,SZSE
161131,易方达科润混合(LOF),混合型-偏股,0.863,N/A%,N/A,open,无限额,SZSE
161132,易方达科顺定开混合,混合型-灵活,2.685,-1.94%,N/A,open,无限额,SZSE
161133,易方达优势回报混合(FOF-LOF)A,FOF-进取型,1.48,0.34%,N/A,open,无限额,SZSE
161211,国投沪深300金融地产联接,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161212,国投沪深300金融地产联接(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161216,国投瑞银双债债券(LOF)A,债券型-混合一级,1.393,0.36%,N/A,open,无限额,SZSE
161217,国投瑞银中证资源指数(LOF)A,指数型-股票,2.409,-0.95%,N/A,open,无限额,SZSE
161218,国投瑞银中证资源指数(LOF)A(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161219,国投瑞银新兴产业混合(LOF)A,混合型-灵活,2.869,-0.38%,N/A,open,无限额,SZSE
161220,国投瑞银新兴产业混合(LOF)A(后端),混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
161221,国投瑞银双债债券C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
161222,国投瑞银瑞利混合(LOF)A,混合型-灵活,2.815,-0.39%,N/A,open,无限额,SZSE
161224,国投瑞银新丝路混合(LOF),混合型-灵活,1.19,N/A%,N/A,open,无限额,SZSE
161225,国投瑞银瑞盈混合(LOF)A,混合型-灵活,2.676,-0.22%,N/A,open,无限额,SZSE
161226,国投瑞银白银期货(LOF)A,商品,2.876,0.74%,N/A,open,无限额,SZSE
161227,国投瑞银深证100指数,指数型-股票,1.628,-0.97%,N/A,open,无限额,SZSE
161228,国投瑞银深证100指数(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161229,国投瑞银中国价值发现股票,QDII-普通股票,1.44,N/A%,N/A,open,无限额,SZSE
161232,国投瑞银瑞盛混合(LOF)A,混合型-灵活,1.354,1.8%,N/A,open,无限额,SZSE
161233,国投瑞银瑞泰多策略混合A,混合型-灵活,N/A,N/A%,N/A,open,无限额,SZSE
161505,银河通利债券(LOF)A,债券型-混合一级,1.349,0.52%,N/A,open,无限额,SZSE
161506,银河通利债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
161601,融通新蓝筹混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161602,融通新蓝筹混合(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161603,融通债券A/B,债券型-长债,N/A,N/A,N/A,open,无限额,SZSE
161604,融通深证100指数A,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161605,融通蓝筹成长混合A/B,混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
161606,融通行业景气混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
161607,融通巨潮100指数A(LOF),指数型-股票,1.166,0.17%,N/A,open,无限额,SZSE
161608,融通易支付货币A,货币型-普通货币,N/A,N/A,N/A,open,无限额,SZSE
161609,融通动力先锋混合A/B,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161610,融通领先成长混合(LOF)A,混合型-偏股,1.88,-1.78%,N/A,open,无限额,SZSE
161611,融通内需驱动混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161612,融通深证成份指数A,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161613,融通创业板指数A,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161614,融通四季添利债券(LOF)A,债券型-混合一级,N/A,N/A%,N/A,open,无限额,SZSE
161615,融通易支付货币B,货币型-普通货币,N/A,N/A,N/A,open,无限额,SZSE
161616,融通医疗保健行业混合A/B,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161617,融通医疗保健行业混合A/B(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161618,融通岁岁添利定开债A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
161619,融通岁岁添利定开债B,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
161620,融通核心价值混合A,QDII-混合灵活,N/A,N/A,N/A,open,无限额,SZSE
161622,融通汇财宝货币A,货币型-普通货币,N/A,N/A,N/A,open,无限额,SZSE
161623,融通汇财宝货币B,货币型-普通货币,N/A,N/A,N/A,open,无限额,SZSE
161624,融通可转债债券A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SZSE
161625,融通可转债债券C,债券型-混合二级,N/A,N/A,N/A,open,无限额,SZSE
161626,融通通福债券(LOF)A,债券型-混合一级,1.087,0.28%,N/A,open,无限额,SZSE
161627,融通通福债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SZSE
161628,融通中证云计算与大数据主题指数(LOF)A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
161631,融通人工智能指数(LOF)A,指数型-股票,2.56,-0.16%,N/A,open,无限额,SZSE
161653,融通债券A/B(后端),债券型-长债,N/A,N/A,N/A,open,无限额,SZSE
161654,融通深证100指数A(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161655,融通蓝筹成长混合A/B(后端),混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
161656,融通行业景气混合A(后端),混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
161657,融通巨潮100指数A(LOF)(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161659,融通动力先锋混合A/B(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161660,融通领先成长混合(LOF)A(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161661,融通内需驱动混合A(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161662,融通深证成份指数A(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161663,融通创业板指数A(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
161693,融通债券C,债券型-长债,N/A,N/A,N/A,open,无限额,SZSE
161706,招商优质成长混合(LOF),混合型-偏股,4.138,0.05%,N/A,open,无限额,SZSE
161707,招商优质成长混合(LOF)(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161713,招商信用添利债券(LOF)A,债券型-混合一级,1.044,-0.48%,N/A,open,无限额,SZSE
161715,招商大宗商品(LOF),指数型-股票,2.413,-1.27%,N/A,open,无限额,SZSE
161716,招商双债增强债券(LOF)C,债券型-混合一级,1.624,N/A%,N/A,open,无限额,SZSE
