code,name,type,nav,daily_change,premium_rate,subscription_status,limit_amount,exchange
161720,招商中证全指证券公司指数(LOF)A,指数型-股票,1.137,-0.18%,N/A,open,无限额,SZSE
161721,招商沪深300地产等权重指数A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
161722,招商丰泰混合(LOF),混合型-灵活,1.57,N/A%,N/A,open,无限额,SZSE
161723,招商中证银行指数A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
161724,招商中证煤炭等权指数(LOF)A,指数型-股票,2.193,-0.23%,N/A,open,无限额,SZSE
161725,招商中证白酒指数(LOF)A,指数型-股票,0.639,0.47%,N/A,open,无限额,SZSE
161726,招商国证生物医药指数(LOF)A,指数型-股票,0.409,0.99%,N/A,open,无限额,SZSE
161727,招商增荣混合(LOF),混合型-灵活,1.79,0.11%,N/A,open,无限额,SZSE
161728,招商瑞智优选混合(LOF),混合型-灵活,1.594,0.63%,N/A,open,无限额,SZSE
161729,招商瑞利灵活配置混合(LOF)A,混合型-灵活,2.205,0.18%,N/A,open,无限额,SZSE
161730,招商智星稳健配置混合(FOF-LOF)A,FOF-稳健型,N/A,N/A%,N/A,open,无限额,SZSE
161810,银华内需精选混合(LOF),混合型-偏股,5.089,-0.1%,N/A,open,无限额,SZSE
161811,银华沪深300指数A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
161812,银华深证100指数(LOF),指数型-股票,1.382,-0.58%,N/A,open,无限额,SZSE
161815,银华抗通胀主题(QDII-FOF-LOF)A,QDII-商品,1.161,-0.17%,N/A,open,无限额,SZSE
161816,银华中证等权重90指数(LOF),指数型-股票,0.96,N/A%,N/A,open,无限额,SZSE
161818,银华消费主题混合A,混合型-偏股,N/A,N/A%,N/A,open,无限额,SZSE
161820,银华纯债信用债券(LOF)A,债券型-长债,1.174,N/A%,N/A,open,无限额,SZSE
161831,银华恒生国企指数(QDII-LOF)A,指数型-海外股票,0.76,0.66%,N/A,open,无限额,SZSE
161834,银华鑫锐灵活配置混合(LOF)A,混合型-灵活,1.776,0.91%,N/A,open,无限额,SZSE
161837,银华大盘两年定开混合,混合型-偏股,1.115,-2.02%,N/A,open,无限额,SZSE
161838,银华创业板两年定期开放混合,混合型-偏股,N/A,N/A%,N/A,open,无限额,SZSE
161902,万家增强收益债券C,债券型-混合二级,N/A,N/A,N/A,open,无限额,SZSE
161903,万家行业优选混合(LOF),混合型-偏股,1.394,0.43%,N/A,open,无限额,SZSE
161907,红利ETF联接,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
161908,万家添利债券(LOF)C,债券型-混合一级,1.244,-1.11%,N/A,open,无限额,SZSE
161910,万家新机遇价值驱动A,混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
161912,万家社会责任18个月定开A,混合型-偏股,3.617,0.14%,N/A,open,无限额,SZSE
161913,万家社会责任18个月定开C,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
161914,万家创业板2年定期开放混合A,混合型-偏股,0.725,-0.55%,N/A,open,无限额,SZSE
161915,万家创业板2年定期开放混合C,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162006,长城久富混合(LOF)A,混合型-偏股,1.869,-0.85%,N/A,open,无限额,SZSE
162102,金鹰中小盘精选混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162105,金鹰持久增利债券(LOF)C,债券型-混合二级,1.485,0.07%,N/A,open,无限额,SZSE
162107,金鹰先进制造股票(LOF)A,股票型,N/A,N/A%,N/A,open,无限额,SZSE
162108,金鹰元盛债券(LOF)C,债券型-混合一级,1.358,-0.37%,N/A,open,无限额,SZSE
162201,宏利成长混合,混合型-灵活,N/A,N/A,N/A,open,无限额,SZSE
162202,宏利周期混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162203,宏利稳定混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162204,宏利行业精选混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162205,宏利风险预算混合,混合型-偏债,N/A,N/A,N/A,open,无限额,SZSE
162206,宏利货币A,货币型-普通货币,N/A,N/A,N/A,open,无限额,SZSE
162207,宏利效率优选混合(LOF),混合型-偏股,1.412,-0.42%,N/A,open,无限额,SZSE
162208,宏利首选企业股票A,股票型,N/A,N/A,N/A,open,无限额,SZSE
162209,宏利市值优选混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162210,宏利集利债券A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SZSE
162212,宏利红利先锋混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162213,宏利沪深300指数A,指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
162214,宏利领先中小盘混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162215,宏利聚利债券(LOF),债券型-混合一级,1.079,0.19%,N/A,open,无限额,SZSE
162216,宏利500指数增强(LOF),指数型-股票,1.646,1.11%,N/A,open,无限额,SZSE
162299,宏利集利债券C,债券型-混合二级,N/A,N/A,N/A,open,无限额,SZSE
162307,海富通中证A100指数(LOF)A,指数型-股票,1.552,-1.52%,N/A,open,无限额,SZSE
162411,华宝标普油气上游股票人民币A,指数型-海外股票,0.867,-3.45%,N/A,open,无限额,SZSE
162412,华宝医疗ETF联接A,指数型-股票,0.584,-0.34%,N/A,open,无限额,SZSE
162414,华宝新机遇混合(LOF)A,混合型-灵活,1.865,-0.53%,N/A,open,无限额,SZSE
162415,华宝标普美国消费人民币A,指数型-海外股票,2.872,1.95%,N/A,open,无限额,SZSE
162509,国联安中证A100指数(LOF),指数型-股票,1.012,0.6%,N/A,open,无限额,SZSE
162511,国联安双佳信用债券(LOF),债券型-混合一级,N/A,N/A%,N/A,open,无限额,SZSE
162605,景顺长城鼎益混合(LOF)A,混合型-偏股,1.65,0.3%,N/A,open,无限额,SZSE
162606,景顺长城鼎益混合(LOF)A(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162607,景顺长城资源垄断混合(LOF)A,混合型-偏股,0.554,N/A%,N/A,open,无限额,SZSE
162703,广发小盘成长混合(LOF)A,混合型-偏股,1.987,-0.35%,N/A,open,无限额,SZSE
162711,广发中证500ETF联接A,指数型-股票,1.875,-0.32%,N/A,open,无限额,SZSE
162712,广发聚利债券(LOF)A,债券型-混合一级,1.414,-0.14%,N/A,open,无限额,SZSE
162713,广发中证500ETF联接A(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SZSE
162714,广发深证100ETF联接A,指数型-股票,N/A,N/A%,N/A,open,无限额,SZSE
162715,广发聚源债券(LOF)A,债券型-长债,1.178,0.08%,N/A,open,无限额,SZSE
162716,广发聚源债券(LOF)C,债券型-长债,N/A,N/A,N/A,open,无限额,SZSE
162717,广发成长新动能混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SZSE
162719,广发道琼斯石油指数人民币A,指数型-海外股票,2.797,-4.64%,N/A,open,无限额,SZSE
162720,广发创业板两年定开混合,混合型-偏股,1.257,0.4%,N/A,open,无限额,SZSE
162721,广发积极优势混合(FOF-LOF)A,FOF-进取型,1.282,0.55%,N/A,open,无限额,SZSE
163001,长信医疗保健混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163003,长信利鑫债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
163005,长信利众债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
163007,长信利众债券(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
163008,长信利鑫债券(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
163109,申万菱信深证成份指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163110,申万菱信量化小盘股票(LOF)A,股票型,N/A,N/A,N/A,open,无限额,SSE
163111,申万菱信中小企业100指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163113,申万菱信中证申万证券行业指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163114,申万菱信中证环保产业指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163115,申万菱信中证军工指数(LOF)A,指数型-股票,100.129,N/A%,N/A,open,无限额,SSE
163116,申万中证申万电子行业投资指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163118,申万菱信中证申万医药生物指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163208,诺安油气能源,QDII-普通股票,110.0,N/A%,N/A,open,无限额,SSE
163209,诺安创业板指数增强(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163302,大摩资源优选混合(LOF),混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163402,兴全趋势投资混合(LOF),混合型-灵活,109.2,N/A%,N/A,open,无限额,SSE
163403,兴全趋势投资混合(LOF)(后端),混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163406,兴全合润混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163407,兴全沪深300指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163408,兴全沪深300指数(LOF)A(后端),指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163409,兴全绿色投资混合(LOF),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163410,兴全绿色投资混合(LOF)(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163411,兴全精选混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163412,兴全轻资产混合(LOF),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163413,兴全轻资产混合(LOF)(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163415,兴全商业模式混合(LOF)A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163416,兴全商业模式混合(LOF)A(后端),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163417,兴全合宜混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163418,兴全合兴混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163503,天治核心成长混合(LOF),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163801,中银中国混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163802,中银货币A,货币型-普通货币,N/A,N/A,N/A,open,无限额,SSE
163803,中银持续增长混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163804,中银收益混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163805,中银动态策略混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163806,中银增利债券A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
163807,中银优选灵活配置混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163808,中银中证A100指数增强,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163809,中银蓝筹混合,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163810,中银价值混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163811,中银双利债券A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
163812,中银双利债券B,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
163813,中银全球策略(QDII-FOF)A,QDII-FOF,N/A,N/A,N/A,open,无限额,SSE
163816,中银转债增强债券A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
163817,中银转债增强债券B,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
163818,中银中小盘成长混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163819,中银信用增利债券(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
163820,中银货币B,货币型-普通货币,N/A,N/A,N/A,open,无限额,SSE
163821,中银沪深300等权重指数,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
163822,中银主题策略混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
163823,中银稳健策略混合,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
163825,中银互利半年定开债,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
163827,中银产业债债券A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
163907,中海惠裕纯债发起式,债券型-长债,N/A,N/A,N/A,open,无限额,SSE
164105,华富强化回报债券(LOF),债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164205,天弘文化新兴产业股票A,股票型,N/A,N/A,N/A,open,无限额,SSE
164206,天弘添利债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164208,天弘丰利债券(LOF)E,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164210,天弘同利债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164212,天弘全球新能源汽车股票(QDII-LOF)A,QDII-普通股票,N/A,N/A,N/A,open,无限额,SSE
164304,新华中证环保产业指数,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
164401,前海开源中证健康产业指数,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
164402,前海开源中航军工指数A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
164403,前海开源沪港深农业混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
164508,国富中证A100指数增强(LOF),指数型-股票,N/A,N/A,N/A,open,无限额,SSE
164509,国富恒利债券(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164510,国富恒利债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164606,华泰柏瑞信用增利债(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164701,汇添富黄金及贵金属(QDII-LOF-FOF)A,QDII-商品,N/A,N/A,N/A,open,无限额,SSE
164703,汇添富纯债(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164705,汇添富恒生指数(QDII-LOF)A,指数型-海外股票,N/A,N/A,N/A,open,无限额,SSE
164808,工银四季收益债券A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164809,工银中证500ETF联接A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
164810,工银纯债定开债,债券型-长债,N/A,N/A,N/A,open,无限额,SSE
164814,工银双债增强债券,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
164818,工银传媒指数A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
164824,工银印度基金人民币,QDII-混合偏股,N/A,N/A,N/A,open,无限额,SSE
164826,工银创业板两年定开混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
164902,交银信用添利债券(LOF),债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164903,交银信用添利债券(LOF)(后端),债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
164905,交银国证新能源指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
164906,交银中证海外中国互联网指数(LOF)A,指数型-海外股票,N/A,N/A,N/A,open,无限额,SSE
164908,交银中证环境治理(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165309,建信沪深300指数(LOF),指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165310,建信沪深300指数增强(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165311,建信信用增强债券(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
165312,建信央视财经50指数(LOF),指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165313,建信优势动力混合(LOF),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
165314,建信信用增强债券(LOF)C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
165508,中信保诚深度价值混合(LOF),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
165509,中信保诚增强收益债券(LOF)A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
165511,中信保诚中证500指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165512,中信保诚新机遇混合(LOF),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
165513,中信保诚全球商品主题(QDII-FOF-LOF)A,QDII-商品,N/A,N/A,N/A,open,无限额,SSE
165515,中信保诚沪深300指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165516,中信保诚周期轮动混合(LOF)A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
165517,中信保诚双盈债券(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
165519,中信保诚中证800医药指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165520,中信保诚中证800有色指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165521,中信保诚中证800金融指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165522,中信保诚中证TMT(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165523,中信保诚中证信息安全指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165524,中信保诚中证智能家居指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165525,中信保诚中证基建工程指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
165526,中信保诚新旺混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
165527,中信保诚新旺混合(LOF)C,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
165528,中信保诚鼎利混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
165530,中信保诚惠泽A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
165531,中信保诚多策略混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
166001,中欧新趋势混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166002,中欧新蓝筹混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166005,中欧价值发现混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166006,中欧行业成长混合(LOF)A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166007,中欧互通精选混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166008,中欧增强回报债券(LOF)A,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
166009,中欧新动力混合(LOF)A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166010,中欧鼎利债券A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
166011,中欧盛世成长混合(LOF)A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166014,中欧货币A,货币型-普通货币,N/A,N/A,N/A,open,无限额,SSE
166015,中欧货币B,货币型-普通货币,N/A,N/A,N/A,open,无限额,SSE
166016,中欧纯债债券(LOF)C,债券型-长债,N/A,N/A,N/A,open,无限额,SSE
166019,中欧价值智选混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
166020,中欧成长优选混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
166023,中欧瑞丰灵活配置混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
166024,中欧恒利三年定期开放混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166025,中欧远见两年定开混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166027,中欧创业板两年定开混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166105,信澳鑫安债券(LOF)A,债券型-混合二级,N/A,N/A,N/A,open,无限额,SSE
166107,信澳量化多因子混合(LOF)A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166108,信澳量化多因子混合(LOF)C,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166109,信澳量化先锋(LOF)A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166110,信澳量化先锋(LOF)C,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
166301,华商新趋势优选灵活配置混合,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
166401,浦银安盛稳健增利债券C,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
166801,浙商聚潮新思维混合A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
166802,浙商沪深300指数增强(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
167001,平安鼎泰混合(LOF),混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
167002,平安鼎越混合(LOF),混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
167003,平安鼎弘混合(LOF)A,混合型-偏债,N/A,N/A,N/A,open,无限额,SSE
167301,方正富邦中证保险A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
167302,方正富邦大湾区综指(LOF),指数型-股票,N/A,N/A,N/A,open,无限额,SSE
167501,安信宝利债券(LOF)D,债券型-混合一级,N/A,N/A,N/A,open,无限额,SSE
167503,安信一带一路指数A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
167504,安信中短利率债(LOF)A,债券型-中短债,N/A,N/A,N/A,open,无限额,SSE
167505,安信中短利率债(LOF)C,债券型-中短债,N/A,N/A,N/A,open,无限额,SSE
167506,安信深圳科技指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
167507,安信深圳科技指数(LOF)C,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
167508,安信价值发现两年定开混合(LOF),混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
167601,国金300指数增强A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
167702,德邦量化优选股票(LOF)A,股票型,N/A,N/A,N/A,open,无限额,SSE
167703,德邦量化优选股票(LOF)C,股票型,N/A,N/A,N/A,open,无限额,SSE
168002,国寿安保策略精选混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
168101,九泰锐智事件驱动混合(LOF),混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168102,九泰锐富事件驱动混合发起式(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168103,九泰锐益混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168104,九泰锐丰灵活配置混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168105,九泰泰富灵活配置混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168111,九泰锐丰灵活配置混合(LOF)C,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168203,国联国证钢铁行业指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
168204,国联中证煤炭指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
168301,东海祥龙(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168401,红土精选混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
168501,华银产业升级,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
168601,汇安裕阳三年持有期混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
168701,合煦智远金融科技指数(LOF)A,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
168702,合煦智远金融科技指数(LOF)C,指数型-股票,N/A,N/A,N/A,open,无限额,SSE
169101,东方红睿丰混合,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
169102,东方红睿阳三年持有混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
169103,东方红睿轩三年持有混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
169104,东方红睿满沪港深混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
169105,东方红睿华沪港深混合(LOF)A,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
169106,东方红创新优选定开混合,混合型-偏债,N/A,N/A,N/A,open,无限额,SSE
169107,东方红恒阳五年持有混合,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
169108,东方红均衡优选定开混合,混合型-偏债,N/A,N/A,N/A,open,无限额,SSE
169109,东方红睿和三年持有混合A,混合型-偏股,N/A,N/A,N/A,open,无限额,SSE
169201,浙商鼎盈事件驱动混合,混合型-灵活,N/A,N/A,N/A,open,无限额,SSE
